SKU,Nama Barang,BERAT (GR),BERAT (KG),Barcode Number,UPC / Barcode Product,MANUAL DATA VALIDATION,SKU GPU,KATEGORI,raw_name,clean_name,aug_variants,augmented_text,aug_variants_str
101032,Ayam Kulit Body,1000,1.0,1010320100,1010320100,1010320100 - Ayam Kulit Body,101032,Discontinue,Ayam Kulit Body,u,"['u cocok untuk panggang', 'u', 'u menu rumahan untuk masakan indonesia', 'u cocok untuk tumis', 'u ideal untuk steak', 'u untuk masakan indonesia']",u cocok untuk panggang . u . u menu rumahan untuk masakan indonesia . u cocok untuk tumis . u ideal untuk steak . u untuk masakan indonesia,u cocok untuk panggang|u|u menu rumahan untuk masakan indonesia|u cocok untuk tumis|u ideal untuk steak|u untuk masakan indonesia
103012,Ayam Parting Dada,1000,1.0,1030120100,1011770100,1030120100 - Ayam Parting Dada,103012,Discontinue,Ayam Parting Dada,,[''],,
103014,Ayam Parting Paha Atas,1000,1.0,1030140100,1011750100,1030140100 - Ayam Parting Paha Atas,103014,Discontinue,Ayam Parting Paha Atas,s,"['s cocok untuk grill', 's cocok untuk tumis', 's cocok untuk panggang', 's untuk masakan indonesia', 's menu rumahan', 's']",s cocok untuk grill . s cocok untuk tumis . s cocok untuk panggang . s untuk masakan indonesia . s menu rumahan . s,s cocok untuk grill|s cocok untuk tumis|s cocok untuk panggang|s untuk masakan indonesia|s menu rumahan|s
103010,Ayam Parting Paha Bawah,1000,1.0,1030100100,1011680100,1030100100 - Ayam Parting Paha Bawah,103010,Discontinue,Ayam Parting Paha Bawah,w,"['w ideal untuk steak', 'w', 'w cocok untuk panggang', 'w cocok untuk grill untuk masakan indonesia', 'w cocok untuk grill', 'w untuk masakan indonesia']",w ideal untuk steak . w . w cocok untuk panggang . w cocok untuk grill untuk masakan indonesia . w cocok untuk grill . w untuk masakan indonesia,w ideal untuk steak|w|w cocok untuk panggang|w cocok untuk grill untuk masakan indonesia|w cocok untuk grill|w untuk masakan indonesia
103011,Ayam Parting Sayap,1000,1.0,1030110100,1011740100,1030110100 - Ayam Parting Sayap,103011,Discontinue,Ayam Parting Sayap,s,"['s cocok untuk grill', 's cocok untuk tumis', 's cocok untuk panggang', 's untuk masakan indonesia', 's cocok untuk panggang untuk masakan indonesia', 's']",s cocok untuk grill . s cocok untuk tumis . s cocok untuk panggang . s untuk masakan indonesia . s cocok untuk panggang untuk masakan indonesia . s,s cocok untuk grill|s cocok untuk tumis|s cocok untuk panggang|s untuk masakan indonesia|s cocok untuk panggang untuk masakan indonesia|s
101404,Bawang Bombay,1000,1.0,1014040100,1014040100,1014040100 - Bawang Bombay,101404,Discontinue,Bawang Bombay,w,"['w cocok untuk tumis', 'w masakan nusantara', 'w ideal untuk steak', 'w ideal untuk steak untuk masakan indonesia', 'w cocok untuk grill', 'w']",w cocok untuk tumis . w masakan nusantara . w ideal untuk steak . w ideal untuk steak untuk masakan indonesia . w cocok untuk grill . w,w cocok untuk tumis|w masakan nusantara|w ideal untuk steak|w ideal untuk steak untuk masakan indonesia|w cocok untuk grill|w
101210,Bebek Peking 0.9 - 1.0 kg,1000,1.0,1012100100,1012100100,1012100100 - Bebek Peking 0.9 - 1.0 kg,101210,Discontinue,Bebek Peking 0.9 - 1.0 kg,,[''],,
101097,Broccoli Floret Heibei 1kg,1000,1.0,1010970100,1010970100,1010970100 - Broccoli Floret Heibei 1kg,101097,Discontinue,Broccoli Floret Heibei 1kg,,[''],,
101167,Cumi Ring,1000,1.0,1011670100,1011670100,1011670100 - Cumi Ring,101167,Discontinue,Cumi Ring,u,"['u', 'u cocok untuk grill untuk masakan indonesia', 'u ideal untuk steak', 'u masakan nusantara', 'u untuk masakan indonesia', 'u cocok untuk grill']",u . u cocok untuk grill untuk masakan indonesia . u ideal untuk steak . u masakan nusantara . u untuk masakan indonesia . u cocok untuk grill,u|u cocok untuk grill untuk masakan indonesia|u ideal untuk steak|u masakan nusantara|u untuk masakan indonesia|u cocok untuk grill
101179,Cumi Tube,1000,1.0,1011790100,1011790100,1011790100 - Cumi Tube,101179,Discontinue,Cumi Tube,u u,"['u u untuk masakan indonesia', 'u u ideal untuk steak', 'u u masakan nusantara untuk masakan indonesia', 'u u', 'u u cocok untuk panggang', 'u u masakan nusantara']",u u untuk masakan indonesia . u u ideal untuk steak . u u masakan nusantara untuk masakan indonesia . u u . u u cocok untuk panggang . u u masakan nusantara,u u untuk masakan indonesia|u u ideal untuk steak|u u masakan nusantara untuk masakan indonesia|u u|u u cocok untuk panggang|u u masakan nusantara
101214,French Fries Marquise Straight Cut 1 kg,1000,1.0,1012140100,1012140100,1012140100 - French Fries Marquise Straight Cut 1 kg,101214,Discontinue,French Fries Marquise Straight Cut 1 kg,s u s s u,"['s u s s u masakan nusantara', 's u s s u ideal untuk steak untuk masakan indonesia', 's u s s u untuk masakan indonesia', 's u s s u', 's u s s u menu rumahan', 's u s s u cocok untuk tumis untuk masakan indonesia']",s u s s u masakan nusantara . s u s s u ideal untuk steak untuk masakan indonesia . s u s s u untuk masakan indonesia . s u s s u . s u s s u menu rumahan . s u s s u cocok untuk tumis untuk masakan indonesia,s u s s u masakan nusantara|s u s s u ideal untuk steak untuk masakan indonesia|s u s s u untuk masakan indonesia|s u s s u|s u s s u menu rumahan|s u s s u cocok untuk tumis untuk masakan indonesia
111111,Hampers Lebaran BBQ & grill,1000,1.0,1111110100,1111110100,1111110100 - Hampers Lebaran BBQ & grill,111111,Discontinue,Hampers Lebaran BBQ & grill,s,"['s cocok untuk grill', 's ideal untuk steak', 's cocok untuk tumis', 's cocok untuk panggang', 's masakan nusantara untuk masakan indonesia', 's']",s cocok untuk grill . s ideal untuk steak . s cocok untuk tumis . s cocok untuk panggang . s masakan nusantara untuk masakan indonesia . s,s cocok untuk grill|s ideal untuk steak|s cocok untuk tumis|s cocok untuk panggang|s masakan nusantara untuk masakan indonesia|s
222222,Hampers Lebaran Siap Saji,1000,1.0,2222220100,2222220100,2222220100 - Hampers Lebaran Siap Saji,222222,Discontinue,Hampers Lebaran Siap Saji,s s s,"['s s s masakan nusantara untuk masakan indonesia', 's s s masakan nusantara', 's s s untuk masakan indonesia', 's s s', 's s s menu rumahan', 's s s cocok untuk panggang']",s s s masakan nusantara untuk masakan indonesia . s s s masakan nusantara . s s s untuk masakan indonesia . s s s . s s s menu rumahan . s s s cocok untuk panggang,s s s masakan nusantara untuk masakan indonesia|s s s masakan nusantara|s s s untuk masakan indonesia|s s s|s s s menu rumahan|s s s cocok untuk panggang
333333,Hampers Lebaran Sultan,1000,1.0,3333330100,3333330100,3333330100 - Hampers Lebaran Sultan,333333,Discontinue,Hampers Lebaran Sultan,s su,"['s su cocok untuk tumis', 's su', 's su masakan nusantara untuk masakan indonesia', 's su masakan nusantara', 's su untuk masakan indonesia', 's su ideal untuk steak']",s su cocok untuk tumis . s su . s su masakan nusantara untuk masakan indonesia . s su masakan nusantara . s su untuk masakan indonesia . s su ideal untuk steak,s su cocok untuk tumis|s su|s su masakan nusantara untuk masakan indonesia|s su masakan nusantara|s su untuk masakan indonesia|s su ideal untuk steak
444444,Hampers Lebaran Tradisional,1000,1.0,4444440100,4444440100,4444440100 - Hampers Lebaran Tradisional,444444,Discontinue,Hampers Lebaran Tradisional,s s,"['s s', 's s ideal untuk steak untuk masakan indonesia', 's s untuk masakan indonesia', 's s cocok untuk tumis', 's s cocok untuk panggang untuk masakan indonesia', 's s cocok untuk tumis untuk masakan indonesia']",s s . s s ideal untuk steak untuk masakan indonesia . s s untuk masakan indonesia . s s cocok untuk tumis . s s cocok untuk panggang untuk masakan indonesia . s s cocok untuk tumis untuk masakan indonesia,s s|s s ideal untuk steak untuk masakan indonesia|s s untuk masakan indonesia|s s cocok untuk tumis|s s cocok untuk panggang untuk masakan indonesia|s s cocok untuk tumis untuk masakan indonesia
100601,Ice Pack,1000,1.0,1006010100,1006010100,1006010100 - Ice Pack,100601,Discontinue,Ice Pack,,[''],,
101255,Ikan Cakalang,1000,1.0,1012550100,1012550100,1012550100 - Ikan Cakalang,101255,Discontinue,Ikan Cakalang,,[''],,
101405,Ikan Gurame,1000,1.0,1014050100,1014050100,1014050100 - Ikan Gurame,101405,Discontinue,Ikan Gurame,u,"['u cocok untuk grill', 'u', 'u menu rumahan', 'u ideal untuk steak', 'u masakan nusantara', 'u ideal untuk steak untuk masakan indonesia']",u cocok untuk grill . u . u menu rumahan . u ideal untuk steak . u masakan nusantara . u ideal untuk steak untuk masakan indonesia,u cocok untuk grill|u|u menu rumahan|u ideal untuk steak|u masakan nusantara|u ideal untuk steak untuk masakan indonesia
101256,Ikan Kembung Banjar,1000,1.0,1012560100,1012560100,1012560100 - Ikan Kembung Banjar,101256,Discontinue,Ikan Kembung Banjar,u,"['u', 'u cocok untuk panggang', 'u ideal untuk steak', 'u masakan nusantara', 'u cocok untuk tumis', 'u cocok untuk grill']",u . u cocok untuk panggang . u ideal untuk steak . u masakan nusantara . u cocok untuk tumis . u cocok untuk grill,u|u cocok untuk panggang|u ideal untuk steak|u masakan nusantara|u cocok untuk tumis|u cocok untuk grill
101257,Ikan Tenggiri Steak,1000,1.0,1012570100,1012570100,1012570100 - Ikan Tenggiri Steak,101257,Discontinue,Ikan Tenggiri Steak,s,"['s ideal untuk steak untuk masakan indonesia', 's masakan nusantara', 's cocok untuk tumis untuk masakan indonesia', 's cocok untuk panggang', 's untuk masakan indonesia', 's']",s ideal untuk steak untuk masakan indonesia . s masakan nusantara . s cocok untuk tumis untuk masakan indonesia . s cocok untuk panggang . s untuk masakan indonesia . s,s ideal untuk steak untuk masakan indonesia|s masakan nusantara|s cocok untuk tumis untuk masakan indonesia|s cocok untuk panggang|s untuk masakan indonesia|s
100812,Karton Besar (53x38),1000,1.0,1008120100,1008120100,1008120100 - Karton Besar (53x38),100812,Discontinue,Karton Besar (53x38),s,"['s cocok untuk grill', 's ideal untuk steak', 's untuk masakan indonesia', 's', 's cocok untuk panggang untuk masakan indonesia', 's masakan nusantara']",s cocok untuk grill . s ideal untuk steak . s untuk masakan indonesia . s . s cocok untuk panggang untuk masakan indonesia . s masakan nusantara,s cocok untuk grill|s ideal untuk steak|s untuk masakan indonesia|s|s cocok untuk panggang untuk masakan indonesia|s masakan nusantara
100813,Karton Kecil (34x27),1000,1.0,1008130100,1008130100,1008130100 - Karton Kecil (34x27),100813,Discontinue,Karton Kecil (34x27),,[''],,
100814,Karton Sedang (38x36),1000,1.0,1008140100,1008140100,1008140100 - Karton Sedang (38x36),100814,Discontinue,Karton Sedang (38x36),s,"['s cocok untuk grill', 's cocok untuk tumis untuk masakan indonesia', 's masakan nusantara untuk masakan indonesia', 's untuk masakan indonesia', 's menu rumahan', 's']",s cocok untuk grill . s cocok untuk tumis untuk masakan indonesia . s masakan nusantara untuk masakan indonesia . s untuk masakan indonesia . s menu rumahan . s,s cocok untuk grill|s cocok untuk tumis untuk masakan indonesia|s masakan nusantara untuk masakan indonesia|s untuk masakan indonesia|s menu rumahan|s
100890,Karton Tokopedia Kecil,1000,1.0,1008900100,1008900100,1008900100 - Karton Tokopedia Kecil,100890,Discontinue,Karton Tokopedia Kecil,,[''],,
101392,McCain Onion Rings 12x907 gr,1000,1.0,1013920100,1013920100,1013920100 - McCain Onion Rings 12x907 gr,101392,Discontinue,McCain Onion Rings 12x907 gr,s,"['s menu rumahan untuk masakan indonesia', 's ideal untuk steak', 's cocok untuk grill untuk masakan indonesia', 's untuk masakan indonesia', 's menu rumahan', 's']",s menu rumahan untuk masakan indonesia . s ideal untuk steak . s cocok untuk grill untuk masakan indonesia . s untuk masakan indonesia . s menu rumahan . s,s menu rumahan untuk masakan indonesia|s ideal untuk steak|s cocok untuk grill untuk masakan indonesia|s untuk masakan indonesia|s menu rumahan|s
101262,McCain Redstone Canyon Skin-On Regular Fries 6x2.30 kg,1000,1.0,1012620100,1012620100,1012620100 - McCain Redstone Canyon Skin-On Regular Fries 6x2.30 kg,101262,Discontinue,McCain Redstone Canyon Skin-On Regular Fries 6x2.30 kg,s s u s,"['s s u s cocok untuk panggang', 's s u s cocok untuk tumis', 's s u s masakan nusantara untuk masakan indonesia', 's s u s masakan nusantara', 's s u s untuk masakan indonesia', 's s u s']",s s u s cocok untuk panggang . s s u s cocok untuk tumis . s s u s masakan nusantara untuk masakan indonesia . s s u s masakan nusantara . s s u s untuk masakan indonesia . s s u s,s s u s cocok untuk panggang|s s u s cocok untuk tumis|s s u s masakan nusantara untuk masakan indonesia|s s u s masakan nusantara|s s u s untuk masakan indonesia|s s u s
101263,McCain Redstone Canyon Skin-On Waffle Fries 6x2.0 kg,1000,1.0,1012630100,1012630100,1012630100 - McCain Redstone Canyon Skin-On Waffle Fries 6x2.0 kg,101263,Discontinue,McCain Redstone Canyon Skin-On Waffle Fries 6x2.0 kg,s s w s,"['s s w s', 's s w s menu rumahan', 's s w s untuk masakan indonesia', 's s w s ideal untuk steak', 's s w s cocok untuk grill', 's s w s cocok untuk panggang']",s s w s . s s w s menu rumahan . s s w s untuk masakan indonesia . s s w s ideal untuk steak . s s w s cocok untuk grill . s s w s cocok untuk panggang,s s w s|s s w s menu rumahan|s s w s untuk masakan indonesia|s s w s ideal untuk steak|s s w s cocok untuk grill|s s w s cocok untuk panggang
101348,McCain Redstone Canyon Skin-On Wedges 6x2.27 kg,1000,1.0,1013480100,1013480100,1013480100 - McCain Redstone Canyon Skin-On Wedges 6x2.27 kg,101348,Discontinue,McCain Redstone Canyon Skin-On Wedges 6x2.27 kg,s s w s,"['s s w s cocok untuk tumis', 's s w s', 's s w s menu rumahan', 's s w s cocok untuk panggang untuk masakan indonesia', 's s w s untuk masakan indonesia', 's s w s ideal untuk steak']",s s w s cocok untuk tumis . s s w s . s s w s menu rumahan . s s w s cocok untuk panggang untuk masakan indonesia . s s w s untuk masakan indonesia . s s w s ideal untuk steak,s s w s cocok untuk tumis|s s w s|s s w s menu rumahan|s s w s cocok untuk panggang untuk masakan indonesia|s s w s untuk masakan indonesia|s s w s ideal untuk steak
101407,McCain Shoestring Fries 5 X 3kg,1000,1.0,1014070100,1014070100,1014070100 - McCain Shoestring Fries 5 X 3kg,101407,Discontinue,McCain Shoestring Fries 5 X 3kg,s s s,"['s s s masakan nusantara untuk masakan indonesia', 's s s cocok untuk tumis', 's s s masakan nusantara', 's s s untuk masakan indonesia', 's s s', 's s s ideal untuk steak']",s s s masakan nusantara untuk masakan indonesia . s s s cocok untuk tumis . s s s masakan nusantara . s s s untuk masakan indonesia . s s s . s s s ideal untuk steak,s s s masakan nusantara untuk masakan indonesia|s s s cocok untuk tumis|s s s masakan nusantara|s s s untuk masakan indonesia|s s s|s s s ideal untuk steak
101322,McCain Tator Tots 6x2.27 kg,1000,1.0,1013220100,1013220100,1013220100 - McCain Tator Tots 6x2.27 kg,101322,Discontinue,McCain Tator Tots 6x2.27 kg,s,"['s menu rumahan untuk masakan indonesia', 's ideal untuk steak', 's untuk masakan indonesia', 's', 's menu rumahan', 's masakan nusantara']",s menu rumahan untuk masakan indonesia . s ideal untuk steak . s untuk masakan indonesia . s . s menu rumahan . s masakan nusantara,s menu rumahan untuk masakan indonesia|s ideal untuk steak|s untuk masakan indonesia|s|s menu rumahan|s masakan nusantara
101320,"McCain Triangle Hash Brown Patties 6x2,27 kg",1000,1.0,1013200100,1013200100,"1013200100 - McCain Triangle Hash Brown Patties 6x2,27 kg",101320,Discontinue,"McCain Triangle Hash Brown Patties 6x2,27 kg",s w s,"['s w s cocok untuk grill', 's w s ideal untuk steak untuk masakan indonesia', 's w s menu rumahan', 's w s cocok untuk tumis', 's w s', 's w s masakan nusantara untuk masakan indonesia']",s w s cocok untuk grill . s w s ideal untuk steak untuk masakan indonesia . s w s menu rumahan . s w s cocok untuk tumis . s w s . s w s masakan nusantara untuk masakan indonesia,s w s cocok untuk grill|s w s ideal untuk steak untuk masakan indonesia|s w s menu rumahan|s w s cocok untuk tumis|s w s|s w s masakan nusantara untuk masakan indonesia
101420,Mixed Paprika Slice 1kg,1000,1.0,1014200100,1014200100,1014200100 - Mixed Paprika Slice 1kg,101420,Discontinue,Mixed Paprika Slice 1kg,s,"['s cocok untuk grill', 's ideal untuk steak', 's cocok untuk tumis', 's cocok untuk panggang', 's untuk masakan indonesia', 's']",s cocok untuk grill . s ideal untuk steak . s cocok untuk tumis . s cocok untuk panggang . s untuk masakan indonesia . s,s cocok untuk grill|s ideal untuk steak|s cocok untuk tumis|s cocok untuk panggang|s untuk masakan indonesia|s
101030,Mixed Vegetables 4 Ways Heibei 1kg,1000,1.0,1010300100,1010300100,1010300100 - Mixed Vegetables 4 Ways Heibei 1kg,101030,Discontinue,Mixed Vegetables 4 Ways Heibei 1kg,s w s,"['s w s ideal untuk steak', 's w s cocok untuk tumis untuk masakan indonesia', 's w s cocok untuk grill', 's w s ideal untuk steak untuk masakan indonesia', 's w s', 's w s untuk masakan indonesia']",s w s ideal untuk steak . s w s cocok untuk tumis untuk masakan indonesia . s w s cocok untuk grill . s w s ideal untuk steak untuk masakan indonesia . s w s . s w s untuk masakan indonesia,s w s ideal untuk steak|s w s cocok untuk tumis untuk masakan indonesia|s w s cocok untuk grill|s w s ideal untuk steak untuk masakan indonesia|s w s|s w s untuk masakan indonesia
101952,Paket BBQ NYE Personal,1000,1.0,1019520100,1019520100,1019520100 - Paket BBQ NYE Personal,101952,Discontinue,Paket BBQ NYE Personal,s,"['s cocok untuk grill', 's ideal untuk steak', 's untuk masakan indonesia', 's', 's cocok untuk panggang untuk masakan indonesia', 's masakan nusantara']",s cocok untuk grill . s ideal untuk steak . s untuk masakan indonesia . s . s cocok untuk panggang untuk masakan indonesia . s masakan nusantara,s cocok untuk grill|s ideal untuk steak|s untuk masakan indonesia|s|s cocok untuk panggang untuk masakan indonesia|s masakan nusantara
101047,Paket BBQ NYE Hemat Large,1000,1.0,1010470100,1010470100,1010470100 - Paket BBQ NYE Hemat Large,101047,Discontinue,Paket BBQ NYE Hemat Large,,[''],,
101048,Paket BBQ NYE Hemat Extra Large,1000,1.0,1010480100,1010480100,1010480100 - Paket BBQ NYE Hemat Extra Large,101048,Discontinue,Paket BBQ NYE Hemat Extra Large,,[''],,
101049,Paket BBQ NYE Premium Large,1000,1.0,1010490100,1010490100,1010490100 - Paket BBQ NYE Premium Large,101049,Discontinue,Paket BBQ NYE Premium Large,u,"['u', 'u cocok untuk panggang', 'u menu rumahan', 'u cocok untuk tumis untuk masakan indonesia', 'u ideal untuk steak', 'u masakan nusantara untuk masakan indonesia']",u . u cocok untuk panggang . u menu rumahan . u cocok untuk tumis untuk masakan indonesia . u ideal untuk steak . u masakan nusantara untuk masakan indonesia,u|u cocok untuk panggang|u menu rumahan|u cocok untuk tumis untuk masakan indonesia|u ideal untuk steak|u masakan nusantara untuk masakan indonesia
101050,Paket BBQ NYE Premium Extra Large,1000,1.0,1010500100,1010500100,1010500100 - Paket BBQ NYE Premium Extra Large,101050,Discontinue,Paket BBQ NYE Premium Extra Large,u,"['u', 'u untuk masakan indonesia', 'u menu rumahan', 'u masakan nusantara untuk masakan indonesia', 'u cocok untuk tumis', 'u cocok untuk grill']",u . u untuk masakan indonesia . u menu rumahan . u masakan nusantara untuk masakan indonesia . u cocok untuk tumis . u cocok untuk grill,u|u untuk masakan indonesia|u menu rumahan|u masakan nusantara untuk masakan indonesia|u cocok untuk tumis|u cocok untuk grill
101501,Bundling Paket Bucin 2,1000,1.0,1015010100,1015010100,1015010100 - Bundling Paket Bucin 2,101501,Discontinue,Bundling Paket Bucin 2,u u,"['u u untuk masakan indonesia', 'u u ideal untuk steak', 'u u masakan nusantara untuk masakan indonesia', 'u u cocok untuk grill', 'u u', 'u u menu rumahan untuk masakan indonesia']",u u untuk masakan indonesia . u u ideal untuk steak . u u masakan nusantara untuk masakan indonesia . u u cocok untuk grill . u u . u u menu rumahan untuk masakan indonesia,u u untuk masakan indonesia|u u ideal untuk steak|u u masakan nusantara untuk masakan indonesia|u u cocok untuk grill|u u|u u menu rumahan untuk masakan indonesia
101484,Paket Go Cedea 1,1000,1.0,1014840100,1014840100,1014840100 - Paket Go Cedea 1,101484,Discontinue,Paket Go Cedea 1,,[''],,
101485,Paket Go Cedea 2,1000,1.0,1014850100,1014850100,1014850100 - Paket Go Cedea 2,101485,Discontinue,Paket Go Cedea 2,,[''],,
101487,Paket Go Kanzler 1,1000,1.0,1014870100,1014870100,1014870100 - Paket Go Kanzler 1,101487,Discontinue,Paket Go Kanzler 1,,[''],,
101488,Paket Go Kanzler 2,1000,1.0,1014880100,1014880100,1014880100 - Paket Go Kanzler 2,101488,Discontinue,Paket Go Kanzler 2,,[''],,
101486,Paket Go Sumber Selera,1000,1.0,1014860100,1014860100,1014860100 - Paket Go Sumber Selera,101486,Discontinue,Paket Go Sumber Selera,su s,"['su s masakan nusantara untuk masakan indonesia', 'su s menu rumahan untuk masakan indonesia', 'su s', 'su s cocok untuk panggang untuk masakan indonesia', 'su s ideal untuk steak', 'su s cocok untuk tumis']",su s masakan nusantara untuk masakan indonesia . su s menu rumahan untuk masakan indonesia . su s . su s cocok untuk panggang untuk masakan indonesia . su s ideal untuk steak . su s cocok untuk tumis,su s masakan nusantara untuk masakan indonesia|su s menu rumahan untuk masakan indonesia|su s|su s cocok untuk panggang untuk masakan indonesia|su s ideal untuk steak|su s cocok untuk tumis
444444,Paket Lebaran BBQ & grill,1000,1.0,4444440100,4444440100,4444440100 - Paket Lebaran BBQ & grill,444444,Discontinue,Paket Lebaran BBQ & grill,,[''],,
